도구 이름,이미지 URL
가스레인지 · 인덕션 · 하이라이트,
오븐,
에어프라이어,
전기 밥솥,
전기 압력 밥솥,
전기 주전자,
토스터,
와플 메이커,
프라이 팬,
궁중 팬(웍),
압력 냄비(압력 밥솥),
냄비,
편수 냄비,
양수 냄비,
압력 냄비,
뚝배기,
찜기,
계란말이 팬,
그릴 팬,
식도(주방 칼),
숟가락,
과도,
도마,
주방 가위,
국자,
뒤집개,
주걱(스패출러),
요리용 집게,
거품기,
뜰채(건지기),
채반,
믹싱볼,
필러(감자 칼),
채칼,
마늘 다지기,
절구,
계량 컵,
계량 스푼,
주방 저울,
타이머,
믹서기(블렌더),
핸드 블렌더,
반죽기,
밀대,
면보,
종이 호일,
알루미늄 호일,
주방 랩,
위생 장갑,
지퍼 백,
종이 컵(180ml),
요리용 붓(솔),
